# {"t_start": 1554708228.502428, "env_id": "Hopper-v2"} 
r,l,t
1389.97528,423,243.351919
1250.314216,365,243.720296
2858.449579,858,244.720969
2806.386059,860,245.709674
2611.889938,856,246.678133
1528.006138,450,247.117867
1246.06051,382,247.483441
1716.060327,544,248.152299
489.538335,165,248.317364
894.061312,262,248.581369
1500.762407,443,249.172846
1451.770254,428,249.582033
1179.308654,354,250.058029
904.324445,263,250.30745
1200.916414,360,250.663285
3157.070264,942,251.767297
790.347199,236,252.012504
522.915765,162,252.181728
1578.492252,474,252.790274
1317.969728,392,253.189997
2792.406594,831,254.189792
1071.062333,323,254.523047
2517.907213,744,255.427066
3242.959863,1000,256.593942
1192.390212,351,256.945571
1166.636365,350,257.435903
1060.263809,346,257.761527
